bot_id,market,algorithm,symbol,closed_trades_72h,wins,win_rate_pct,realized_pnl_72h,status,deactivated_at,deactivation_reason
sp500_ma_lstm_nn__ps_v6,SP500,lstm_nn__ps,MA,15,3,20.0,-0.28,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 15 lenh dong + realized PnL -0.28 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ma_lstm_nn__ps_v7,SP500,lstm_nn__ps,MA,15,3,20.0,-0.28,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 15 lenh dong + realized PnL -0.28 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ma_lstm_nn__ps,SP500,lstm_nn__ps,MA,15,3,20.0,-0.28,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 15 lenh dong + realized PnL -0.28 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_jpm_random_forest__ps_v3,SP500,random_forest__ps,JPM,5,0,0.0,-0.07,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 5 lenh dong + realized PnL -0.07 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_jpm_random_forest__ps_v9,SP500,random_forest__ps,JPM,5,0,0.0,-0.07,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 0.0% (<25%) tren 5 lenh dong + realized PnL -0.07 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xau_spot_xgboost__ps_v9,GOLD,xgboost__ps,XAU_spot,5,1,20.0,-0.02,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 5 lenh dong + realized PnL -0.02 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
gold_xau_spot_xgboost__ps_v3,GOLD,xgboost__ps,XAU_spot,5,1,20.0,-0.02,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 20.0% (<25%) tren 5 lenh dong + realized PnL -0.02 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ensemble_v7,SP500,ensemble,,7,1,14.3,-0.01,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 14.3% (<25%) tren 7 lenh dong + realized PnL -0.01 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ensemble_v6,SP500,ensemble,,7,1,14.3,-0.01,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 14.3% (<25%) tren 7 lenh dong + realized PnL -0.01 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
sp500_ensemble,SP500,ensemble,,7,1,14.3,-0.01,DEACTIVATED,2026-07-01 20:32,"Tier-1 RED: win_rate 14.3% (<25%) tren 7 lenh dong + realized PnL -0.01 <0, cua so 72h. Ly do: overtrade tin hieu sai huong, thua co he thong."
nasdaq_random_forest_v9,NASDAQ,random_forest,"",34,8,23.5,-79.11,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_random_forest,NASDAQ,random_forest,"",28,4,14.3,-51.35,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_arima_garch_v9,NASDAQ,arima_garch,"",90,20,22.2,-47.53,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_moving_average_v9,NASDAQ,moving_average,"",25,7,28.0,-37.92,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_random_forest_v3,NASDAQ,random_forest,"",40,7,17.5,-36.74,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_sarima_v9,NASDAQ,sarima,"",96,30,31.3,-32.28,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_sarima_v8,NASDAQ,sarima,"",42,8,19.0,-28.97,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_sarima_v3,NASDAQ,sarima,"",86,25,29.1,-25.83,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_ensemble,NASDAQ,ensemble,"",57,12,21.1,-25.46,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
