bot_id,market,algorithm,symbol
crypto_sol_lightgbm__ps_v6,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v2,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v3,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v4,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v10,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v7,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v5,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v8,CRYPTO,lightgbm__ps,SOL
crypto_sol_lightgbm__ps_v9,CRYPTO,lightgbm__ps,SOL
crypto_lstm_nn_v4,CRYPTO,lstm_nn,
crypto_btc_lstm_nn__ps_v10,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps_v7,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps_v8,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps_v2,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps_v4,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps,CRYPTO,lstm_nn__ps,BTC
crypto_btc_lstm_nn__ps_v5,CRYPTO,lstm_nn__ps,BTC
crypto_eth_lstm_nn__ps_v3,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v6,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v9,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v4,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v10,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v7,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v8,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v2,CRYPTO,lstm_nn__ps,ETH
crypto_eth_lstm_nn__ps_v5,CRYPTO,lstm_nn__ps,ETH
crypto_sol_lstm_nn__ps_v8,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps_v4,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps_v10,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps_v2,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps_v5,CRYPTO,lstm_nn__ps,SOL
crypto_sol_lstm_nn__ps_v7,CRYPTO,lstm_nn__ps,SOL
crypto_btc_meta_stack__ps,CRYPTO,meta_stack__ps,BTC
crypto_moving_average_v10,CRYPTO,moving_average,
crypto_moving_average_v2,CRYPTO,moving_average,
crypto_moving_average_v5,CRYPTO,moving_average,
crypto_moving_average_v8,CRYPTO,moving_average,
crypto_btc_moving_average__ps_v8,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v6,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v2,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v4,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v10,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v9,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v5,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v3,CRYPTO,moving_average__ps,BTC
crypto_btc_moving_average__ps_v7,CRYPTO,moving_average__ps,BTC
crypto_eth_moving_average__ps_v7,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v8,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v9,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v6,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v2,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v3,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v4,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v10,CRYPTO,moving_average__ps,ETH
crypto_eth_moving_average__ps_v5,CRYPTO,moving_average__ps,ETH
crypto_sol_moving_average__ps_v10,CRYPTO,moving_average__ps,SOL
crypto_sol_moving_average__ps_v2,CRYPTO,moving_average__ps,SOL
crypto_sol_moving_average__ps_v8,CRYPTO,moving_average__ps,SOL
crypto_sol_moving_average__ps_v5,CRYPTO,moving_average__ps,SOL
crypto_random_forest_v2,CRYPTO,random_forest,
crypto_random_forest_v5,CRYPTO,random_forest,
crypto_random_forest_v4,CRYPTO,random_forest,
crypto_random_forest_v10,CRYPTO,random_forest,
crypto_btc_random_forest__ps_v6,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v8,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v4,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v10,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v7,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v2,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps,CRYPTO,random_forest__ps,BTC
crypto_btc_random_forest__ps_v5,CRYPTO,random_forest__ps,BTC
crypto_eth_random_forest__ps_v6,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v7,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v4,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v10,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v2,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v5,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v8,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v3,CRYPTO,random_forest__ps,ETH
crypto_eth_random_forest__ps_v9,CRYPTO,random_forest__ps,ETH
crypto_sol_random_forest__ps_v2,CRYPTO,random_forest__ps,SOL
crypto_sol_random_forest__ps_v5,CRYPTO,random_forest__ps,SOL
crypto_sol_random_forest__ps_v10,CRYPTO,random_forest__ps,SOL
crypto_sol_random_forest__ps_v4,CRYPTO,random_forest__ps,SOL
crypto_sarima_v2,CRYPTO,sarima,
crypto_sarima_v10,CRYPTO,sarima,
crypto_sarima_v5,CRYPTO,sarima,
crypto_btc_sarima__ps_v5,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v7,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v2,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v10,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v4,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v9,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v6,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v3,CRYPTO,sarima__ps,BTC
crypto_btc_sarima__ps_v8,CRYPTO,sarima__ps,BTC
crypto_eth_sarima__ps_v6,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v10,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v8,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v2,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v4,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v9,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v3,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v7,CRYPTO,sarima__ps,ETH
crypto_eth_sarima__ps_v5,CRYPTO,sarima__ps,ETH
crypto_sol_sarima__ps_v2,CRYPTO,sarima__ps,SOL
crypto_sol_sarima__ps_v10,CRYPTO,sarima__ps,SOL
crypto_sol_sarima__ps_v5,CRYPTO,sarima__ps,SOL
crypto_xgboost_v10,CRYPTO,xgboost,
crypto_xgboost_v4,CRYPTO,xgboost,
crypto_xgboost_v2,CRYPTO,xgboost,
crypto_btc_xgboost__ps_v5,CRYPTO,xgboost__ps,BTC
crypto_btc_xgboost__ps_v10,CRYPTO,xgboost__ps,BTC
crypto_btc_xgboost__ps_v2,CRYPTO,xgboost__ps,BTC
crypto_btc_xgboost__ps_v4,CRYPTO,xgboost__ps,BTC
crypto_btc_xgboost__ps_v8,CRYPTO,xgboost__ps,BTC
crypto_eth_xgboost__ps_v2,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v7,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v8,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v5,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v3,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v9,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v10,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v4,CRYPTO,xgboost__ps,ETH
crypto_eth_xgboost__ps_v6,CRYPTO,xgboost__ps,ETH
crypto_sol_xgboost__ps_v4,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v5,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v3,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v9,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v2,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v7,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v10,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v8,CRYPTO,xgboost__ps,SOL
crypto_sol_xgboost__ps_v6,CRYPTO,xgboost__ps,SOL
gold_arima_garch_v8,GOLD,arima_garch,
gold_arima_garch_v3,GOLD,arima_garch,
gold_arima_garch_v10,GOLD,arima_garch,
gold_arima_garch_v6,GOLD,arima_garch,
gold_arima_garch_v5,GOLD,arima_garch,
gold_arima_garch_v7,GOLD,arima_garch,
gold_arima_garch_v2,GOLD,arima_garch,
gold_arima_garch,GOLD,arima_garch,
gold_arima_garch_v4,GOLD,arima_garch,
gold_arima_garch_v9,GOLD,arima_garch,
gold_btmc_nhan_tron_arima_garch__ps_v10,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v6,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v5,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v9,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v8,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v4,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v2,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v7,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_arima_garch__ps_v3,GOLD,arima_garch__ps,BTMC_nhan_tron
gold_btmc_sjc_arima_garch__ps_v10,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v8,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v4,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v9,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v3,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v7,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v5,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v2,GOLD,arima_garch__ps,BTMC_sjc
gold_btmc_sjc_arima_garch__ps_v6,GOLD,arima_garch__ps,BTMC_sjc
gold_xau_spot_arima_garch__ps_v7,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v2,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v4,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v9,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v10,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v5,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v3,GOLD,arima_garch__ps,XAU_spot
gold_xau_spot_arima_garch__ps_v8,GOLD,arima_garch__ps,XAU_spot
