id,market,algorithm,sym,closed,wins,wr,pnl,bucket
nasdaq_nflx_arima_garch__ps,NASDAQ,arima_garch__ps,NFLX,6,4,66.7,-1.89,A_WATCH_losing_bad_RR
nasdaq_nflx_arima_garch__ps_v4,NASDAQ,arima_garch__ps,NFLX,6,4,66.7,-1.89,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps,NASDAQ,egarch__ps,INTC,3,1,33.3,-1.88,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps_v4,NASDAQ,egarch__ps,INTC,3,1,33.3,-1.88,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps_v2,NASDAQ,egarch__ps,INTC,3,1,33.3,-1.85,A_WATCH_losing_bad_RR
sp500_xgboost_v3,SP500,xgboost,"",23,8,34.8,-1.80,A_WATCH_losing_bad_RR
nasdaq_csco_random_forest__ps_v9,NASDAQ,random_forest__ps,CSCO,3,1,33.3,-1.72,A_WATCH_losing_bad_RR
nasdaq_nflx_arima_garch__ps_v9,NASDAQ,arima_garch__ps,NFLX,8,5,62.5,-1.68,A_WATCH_losing_bad_RR
nasdaq_meta_ema__ps_v7,NASDAQ,ema__ps,META,3,1,33.3,-1.62,A_WATCH_losing_bad_RR
nasdaq_meta_sarima__ps_v7,NASDAQ,sarima__ps,META,3,1,33.3,-1.62,A_WATCH_losing_bad_RR
nasdaq_csco_xgboost__ps_v9,NASDAQ,xgboost__ps,CSCO,3,1,33.3,-1.60,A_WATCH_losing_bad_RR
nasdaq_csco_lightgbm__ps_v9,NASDAQ,lightgbm__ps,CSCO,3,1,33.3,-1.60,A_WATCH_losing_bad_RR
nasdaq_adbe_gru_nn__ps_v9,NASDAQ,gru_nn__ps,ADBE,6,3,50.0,-1.40,A_WATCH_losing_bad_RR
crypto_lstm_nn_v3,CRYPTO,lstm_nn,"",33,15,45.5,-1.39,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps_v9,NASDAQ,egarch__ps,INTC,8,4,50.0,-1.28,A_WATCH_losing_bad_RR
sp500_xom_lstm_nn__ps_v4,SP500,lstm_nn__ps,XOM,6,2,33.3,-1.19,A_WATCH_losing_bad_RR
nasdaq_intc_egarch__ps_v3,NASDAQ,egarch__ps,INTC,5,2,40.0,-1.14,A_WATCH_losing_bad_RR
nasdaq_intc_xgboost__ps_v6,NASDAQ,xgboost__ps,INTC,5,2,40.0,-1.14,A_WATCH_losing_bad_RR
nasdaq_nflx_arima_garch__ps_v6,NASDAQ,arima_garch__ps,NFLX,7,5,71.4,-1.07,A_WATCH_losing_bad_RR
nasdaq_nflx_arima_garch__ps_v3,NASDAQ,arima_garch__ps,NFLX,7,5,71.4,-1.07,A_WATCH_losing_bad_RR
nasdaq_meta_meta_stack__ps,NASDAQ,meta_stack__ps,META,4,2,50.0,-1.01,A_WATCH_losing_bad_RR
sp500_unh_lightgbm__ps_v9,SP500,lightgbm__ps,UNH,6,2,33.3,-0.85,A_WATCH_losing_bad_RR
sp500_bac_meta_stack__ps,SP500,meta_stack__ps,BAC,3,1,33.3,-0.85,A_WATCH_losing_bad_RR
crypto_ema_v8,CRYPTO,ema,"",3,1,33.3,-0.73,A_WATCH_losing_bad_RR
nasdaq_nflx_lightgbm__ps,NASDAQ,lightgbm__ps,NFLX,13,8,61.5,-0.69,A_WATCH_losing_bad_RR
nasdaq_nflx_lightgbm__ps_v7,NASDAQ,lightgbm__ps,NFLX,13,8,61.5,-0.69,A_WATCH_losing_bad_RR
nasdaq_nflx_lightgbm__ps_v3,NASDAQ,lightgbm__ps,NFLX,13,8,61.5,-0.69,A_WATCH_losing_bad_RR
nasdaq_nflx_lightgbm__ps_v6,NASDAQ,lightgbm__ps,NFLX,13,8,61.5,-0.69,A_WATCH_losing_bad_RR
nasdaq_lightgbm_v5,NASDAQ,lightgbm,"",11,4,36.4,-0.44,A_WATCH_losing_bad_RR
sp500_lightgbm_v12,SP500,lightgbm,"",13,5,38.5,-0.40,A_WATCH_losing_bad_RR
sp500_lightgbm_v11,SP500,lightgbm,"",13,5,38.5,-0.40,A_WATCH_losing_bad_RR
nasdaq_transformer_nn_v9,NASDAQ,transformer_nn,"",10,6,60.0,-0.38,A_WATCH_losing_bad_RR
sp500_moving_average_v3,SP500,moving_average,"",3,1,33.3,-0.34,A_WATCH_losing_bad_RR
nasdaq_adbe_ema__ps_v3,NASDAQ,ema__ps,ADBE,3,1,33.3,-0.31,A_WATCH_losing_bad_RR
nasdaq_msft_arima_garch__ps_v8,NASDAQ,arima_garch__ps,MSFT,5,4,80.0,-0.21,A_WATCH_losing_bad_RR
sp500_ma_lstm_nn__ps_v8,SP500,lstm_nn__ps,MA,6,3,50.0,-0.12,A_WATCH_losing_bad_RR
nasdaq_nvda_meta_stack__ps,NASDAQ,meta_stack__ps,NVDA,6,3,50.0,-0.12,A_WATCH_losing_bad_RR
sp500_cvx_xgboost__ps_v9,SP500,xgboost__ps,CVX,5,2,40.0,-0.08,A_WATCH_losing_bad_RR
sp500_cvx_xgboost__ps_v3,SP500,xgboost__ps,CVX,5,2,40.0,-0.08,A_WATCH_losing_bad_RR
nasdaq_qcom_meta_stack__ps,NASDAQ,meta_stack__ps,QCOM,3,1,33.3,-0.07,A_WATCH_losing_bad_RR
sp500_xom_lstm_nn__ps_v10,SP500,lstm_nn__ps,XOM,11,1,9.1,0.10,B_FRAGILE_lowwr_profit
sp500_pg_lstm_nn__ps_v6,SP500,lstm_nn__ps,PG,6,1,16.7,0.10,B_FRAGILE_lowwr_profit
sp500_pg_lstm_nn__ps,SP500,lstm_nn__ps,PG,6,1,16.7,0.10,B_FRAGILE_lowwr_profit
sp500_pg_lstm_nn__ps_v3,SP500,lstm_nn__ps,PG,6,1,16.7,0.10,B_FRAGILE_lowwr_profit
sp500_pg_lstm_nn__ps_v7,SP500,lstm_nn__ps,PG,6,1,16.7,0.10,B_FRAGILE_lowwr_profit
sp500_jpm_egarch__ps_v9,SP500,egarch__ps,JPM,18,3,16.7,0.27,B_FRAGILE_lowwr_profit
sp500_jpm_egarch__ps_v3,SP500,egarch__ps,JPM,18,3,16.7,0.27,B_FRAGILE_lowwr_profit
sp500_ma_egarch__ps_v9,SP500,egarch__ps,MA,16,2,12.5,0.31,B_FRAGILE_lowwr_profit
sp500_ma_egarch__ps_v3,SP500,egarch__ps,MA,16,2,12.5,0.31,B_FRAGILE_lowwr_profit
sp500_ma_lstm_nn__ps_v3,SP500,lstm_nn__ps,MA,22,4,18.2,0.38,B_FRAGILE_lowwr_profit
sp500_ma_lstm_nn__ps_v9,SP500,lstm_nn__ps,MA,22,4,18.2,0.38,B_FRAGILE_lowwr_profit
sp500_unh_egarch__ps_v9,SP500,egarch__ps,UNH,26,5,19.2,0.38,B_FRAGILE_lowwr_profit
sp500_qqq_arima_garch__ps_v4,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
